number,Single Thread,ThreadPoolExecutor,multiprocessing_Pool,multiprocessing_Process_Queue
840,0,0,0,0
309,0,0,0,0
602,0,0,0,1
647,1,1,1,0
215,0,0,0,1
59,1,1,1,0
763,0,0,0,0
394,0,0,0,0
383,1,1,1,1
802,0,0,0,0
342,0,0,0,0
742,0,0,0,0
26,0,0,0,0
518,0,0,0,0
454,0,0,0,0
250,0,0,0,0
302,0,0,0,0
468,0,0,0,0
963,0,0,0,0
686,0,0,0,0
189,0,0,0,0
659,1,1,1,1
136,0,0,0,0
84,0,0,0,0
144,0,0,0,0
724,0,0,0,0
258,0,0,0,0
718,0,0,0,0
383,1,1,1,1
413,0,0,0,0
173,1,1,1,1
510,0,0,0,0
68,0,0,0,0
77,0,0,0,0
540,0,0,0,0
424,0,0,0,0
356,0,0,0,0
992,0,0,0,0
619,1,1,1,0
135,0,0,0,0
980,0,0,0,1
580,0,0,0,0
835,0,0,0,0
955,0,0,0,0
204,0,0,0,0
14,0,0,0,0
288,0,0,0,0
327,0,0,0,0
659,1,1,1,0
666,0,0,0,1
933,0,0,0,0
6,0,0,0,0
776,0,0,0,0
455,0,0,0,0
78,0,0,0,0
688,0,0,0,0
73,1,1,1,1
928,0,0,0,0
976,0,0,0,0
764,0,0,0,0
869,0,0,0,0
47,1,1,1,1
909,0,0,0,0
944,0,0,0,0
471,0,0,0,0
235,0,0,0,0
986,0,0,0,0
147,0,0,0,0
329,0,0,0,0
706,0,0,0,0
252,0,0,0,0
349,1,1,1,1
118,0,0,0,1
443,1,1,1,0
428,0,0,0,0
34,0,0,0,0
518,0,0,0,0
22,0,0,0,0
156,0,0,0,0
788,0,0,0,0
776,0,0,0,0
368,0,0,0,0
866,0,0,0,0
44,0,0,0,0
718,0,0,0,0
220,0,0,0,0
715,0,0,0,0
134,0,0,0,0
457,1,1,1,1
479,1,1,1,1
934,0,0,0,0
443,1,1,1,0
338,0,0,0,1
821,1,1,1,1
674,0,0,0,0
265,0,0,0,0
497,0,0,0,0
468,0,0,0,0
629,0,0,0,0
547,1,1,1,1
