number,Single Thread,ThreadPoolExecutor,multiprocessing_Pool,multiprocessing_Process_Queue
674,0,0,0,0
870,0,0,0,0
807,0,0,0,0
56,0,0,0,0
176,0,0,0,0
669,0,0,0,0
588,0,0,0,0
830,0,0,0,0
970,0,0,0,0
741,0,0,0,0
466,0,0,0,0
483,0,0,0,0
213,0,0,0,0
140,0,0,0,0
584,0,0,0,0
693,0,0,0,0
932,0,0,0,0
435,0,0,0,0
86,0,0,0,0
723,0,0,0,0
610,0,0,0,0
606,0,0,0,0
72,0,0,0,0
600,0,0,0,0
390,0,0,0,0
599,1,1,1,1
535,0,0,0,0
733,1,1,1,1
278,0,0,0,0
13,1,1,1,1
798,0,0,0,0
36,0,0,0,0
125,0,0,0,0
330,0,0,0,0
257,1,1,1,1
577,1,1,1,1
908,0,0,0,0
55,0,0,0,0
31,1,1,1,1
363,0,0,0,0
814,0,0,0,1
41,1,1,1,0
552,0,0,0,0
674,0,0,0,1
937,1,1,1,0
170,0,0,0,0
866,0,0,0,0
946,0,0,0,0
777,0,0,0,0
703,0,0,0,0
600,0,0,0,0
517,0,0,0,0
898,0,0,0,0
116,0,0,0,0
57,0,0,0,0
802,0,0,0,0
677,1,1,1,1
449,1,1,1,1
150,0,0,0,0
254,0,0,0,0
38,0,0,0,0
39,0,0,0,0
601,1,1,1,0
490,0,0,0,1
564,0,0,0,0
947,1,1,1,1
670,0,0,0,0
490,0,0,0,0
383,1,1,1,1
554,0,0,0,0
78,0,0,0,0
229,1,1,1,1
946,0,0,0,0
902,0,0,0,0
559,0,0,0,0
205,0,0,0,0
588,0,0,0,0
410,0,0,0,0
341,0,0,0,0
134,0,0,0,0
602,0,0,0,0
141,0,0,0,0
272,0,0,0,0
407,0,0,0,0
597,0,0,0,0
196,0,0,0,0
576,0,0,0,0
161,0,0,0,0
772,0,0,0,0
213,0,0,0,0
170,0,0,0,1
53,1,1,1,0
395,0,0,0,0
759,0,0,0,0
187,0,0,0,0
491,1,1,1,1
509,1,1,1,1
280,0,0,0,0
384,0,0,0,0
320,0,0,0,0
389,1,1,1,1
11,1,1,1,1
197,1,1,1,1
903,0,0,0,0
909,0,0,0,0
465,0,0,0,0
39,0,0,0,0
443,1,1,1,1
902,0,0,0,0
904,0,0,0,0
780,0,0,0,0
568,0,0,0,0
433,1,1,1,1
509,1,1,1,1
455,0,0,0,0
90,0,0,0,0
811,1,1,1,0
332,0,0,0,1
728,0,0,0,0
670,0,0,0,0
987,0,0,0,0
879,0,0,0,0
261,0,0,0,0
933,0,0,0,0
282,0,0,0,0
73,1,1,1,1
898,0,0,0,0
748,0,0,0,0
885,0,0,0,0
253,0,0,0,0
852,0,0,0,0
820,0,0,0,0
568,0,0,0,0
178,0,0,0,0
573,0,0,0,0
853,1,1,1,1
616,0,0,0,0
729,0,0,0,0
982,0,0,0,0
486,0,0,0,0
394,0,0,0,0
524,0,0,0,0
798,0,0,0,0
931,0,0,0,0
252,0,0,0,0
208,0,0,0,0
774,0,0,0,0
520,0,0,0,0
145,0,0,0,0
676,0,0,0,0
940,0,0,0,0
750,0,0,0,0
314,0,0,0,0
582,0,0,0,0
722,0,0,0,0
143,0,0,0,0
600,0,0,0,0
32,0,0,0,0
271,1,1,1,1
882,0,0,0,0
61,1,1,1,1
705,0,0,0,0
404,0,0,0,0
1,0,0,0,0
966,0,0,0,0
500,0,0,0,0
578,0,0,0,0
463,1,1,1,0
220,0,0,0,1
102,0,0,0,0
232,0,0,0,0
406,0,0,0,0
69,0,0,0,0
910,0,0,0,0
157,1,1,1,1
523,1,1,1,1
945,0,0,0,0
372,0,0,0,0
460,0,0,0,0
203,0,0,0,0
584,0,0,0,0
25,0,0,0,0
334,0,0,0,0
127,1,1,1,1
845,0,0,0,0
607,1,1,1,0
196,0,0,0,1
171,0,0,0,0
981,0,0,0,0
567,0,0,0,0
434,0,0,0,0
130,0,0,0,0
808,0,0,0,0
415,0,0,0,0
764,0,0,0,0
754,0,0,0,0
485,0,0,0,0
568,0,0,0,0
856,0,0,0,0
764,0,0,0,0
517,0,0,0,0
621,0,0,0,0
760,0,0,0,0
659,1,1,1,0
259,0,0,0,1
156,0,0,0,0
349,1,1,1,1
692,0,0,0,0
417,0,0,0,0
709,1,1,1,1
976,0,0,0,0
232,0,0,0,0
341,0,0,0,0
131,1,1,1,1
12,0,0,0,0
218,0,0,0,0
635,0,0,0,0
262,0,0,0,0
757,1,1,1,1
748,0,0,0,0
61,1,1,1,1
25,0,0,0,0
944,0,0,0,0
909,0,0,0,0
848,0,0,0,0
345,0,0,0,0
995,0,0,0,0
400,0,0,0,0
179,1,1,1,1
260,0,0,0,0
918,0,0,0,0
317,1,1,1,1
400,0,0,0,0
13,1,1,1,1
547,1,1,1,0
1,0,0,0,1
815,0,0,0,0
767,0,0,0,0
735,0,0,0,0
576,0,0,0,0
628,0,0,0,0
21,0,0,0,0
599,1,1,1,1
951,0,0,0,0
521,1,1,1,1
224,0,0,0,0
158,0,0,0,0
747,0,0,0,0
996,0,0,0,0
760,0,0,0,0
534,0,0,0,0
434,0,0,0,0
466,0,0,0,0
544,0,0,0,0
168,0,0,0,0
405,0,0,0,0
523,1,1,1,1
545,0,0,0,0
410,0,0,0,0
324,0,0,0,0
681,0,0,0,0
883,1,1,1,1
530,0,0,0,0
270,0,0,0,0
152,0,0,0,0
558,0,0,0,0
808,0,0,0,0
221,0,0,0,0
797,1,1,1,1
399,0,0,0,0
910,0,0,0,0
238,0,0,0,0
603,0,0,0,0
247,0,0,0,0
181,1,1,1,1
264,0,0,0,0
62,0,0,0,0
427,0,0,0,0
438,0,0,0,0
590,0,0,0,0
819,0,0,0,0
841,0,0,0,0
439,1,1,1,1
619,1,1,1,1
422,0,0,0,0
248,0,0,0,0
645,0,0,0,0
604,0,0,0,0
586,0,0,0,0
82,0,0,0,0
648,0,0,0,0
203,0,0,0,0
296,0,0,0,0
139,1,1,1,1
182,0,0,0,0
292,0,0,0,0
305,0,0,0,0
333,0,0,0,0
204,0,0,0,0
131,1,1,1,0
724,0,0,0,1
258,0,0,0,0
21,0,0,0,0
308,0,0,0,0
724,0,0,0,0
47,1,1,1,1
992,0,0,0,0
124,0,0,0,0
699,0,0,0,0
38,0,0,0,0
950,0,0,0,0
929,1,1,1,1
354,0,0,0,0
27,0,0,0,0
236,0,0,0,0
923,0,0,0,0
80,0,0,0,0
611,0,0,0,0
296,0,0,0,0
511,0,0,0,0
25,0,0,0,0
491,1,1,1,1
968,0,0,0,0
221,0,0,0,0
569,1,1,1,1
216,0,0,0,0
361,0,0,0,0
852,0,0,0,0
2,1,1,1,1
716,0,0,0,0
593,1,1,1,1
669,0,0,0,0
574,0,0,0,0
933,0,0,0,0
96,0,0,0,0
177,0,0,0,0
507,0,0,0,0
247,0,0,0,0
448,0,0,0,0
745,0,0,0,0
889,0,0,0,0
